QUANTITY,DESCRIPTION,PART
14,Mill-Max 4123-0-00-15-00-00-08-0 Pin,4123-0-00-15-00-00-08-0
1,14-Pin 2.54mm Vertical Through-Hole Shrouded Pin Header,"SBH11-PBPC-D07-ST-BK
"
